8KB,32KB,1MB
[6.2439654927192745],[12.487930985438549],[62.43965492719275]
[6.244029400733153],[12.488058801466305],[62.44029400733153]
[6.244087626937937],[12.488175253875873],[62.440876269379366]
[6.24405743543694],[12.48811487087388],[62.440574354369396]
[6.244068218082351],[12.488136436164702],[62.44068218082351]
[6.244427829634825],[12.48885565926965],[62.44427829634825]
[6.244403621611071],[12.488807243222142],[62.44403621611071]
[6.244423766222723],[12.488847532445446],[62.44423766222723]
[6.244329194980341],[12.488658389960682],[62.44329194980341]
[6.244450139156242],[12.488900278312483],[62.44450139156242]
[6.245053600978487],[12.490107201956974],[62.45053600978487]
[6.246589144032576],[12.493178288065153],[62.465891440325755]
[6.246082206501298],[12.492164413002596],[62.460822065012984]
[6.246851385390428],[12.493702770780857],[62.468513853904284]
[6.247332218404718],[12.494664436809437],[62.47332218404719]
[6.250900187238946],[12.501800374477892],[62.509001872389454]
[6.257569640694388],[12.515139281388777],[62.575696406943884]
[6.249507819759659],[12.499015639519317],[62.495078197596584]
[6.260349771800153],[12.520699543600307],[62.60349771800153]
[6.26161428456007],[12.52322856912014],[62.616142845600706]
