Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides
conv_layer0,224,224,7,7,3,64,2,
conv_layer1,56,56,1,1,64,64,1,
conv_layer2,56,56,3,3,64,192,1,
conv_layer3,28,28,1,1,192,64,1,
conv_layer4,28,28,1,1,192,96,1,
conv_layer5,28,28,3,3,96,128,1,
conv_layer6,28,28,1,1,192,16,1,
conv_layer7,28,28,3,3,16,32,1,
conv_layer8,28,28,1,1,192,32,1,
conv_layer9,28,28,1,1,256,128,1,
conv_layer10,28,28,1,1,256,128,1,
conv_layer11,28,28,3,3,128,192,1,
conv_layer12,28,28,1,1,256,32,1,
conv_layer13,28,28,3,3,32,96,1,
conv_layer14,28,28,1,1,256,64,1,
conv_layer15,14,14,1,1,480,192,1,
conv_layer16,14,14,1,1,480,96,1,
conv_layer17,14,14,3,3,96,208,1,
conv_layer18,14,14,1,1,480,16,1,
conv_layer19,14,14,3,3,16,48,1,
conv_layer20,14,14,1,1,480,64,1,
conv_layer21,14,14,1,1,512,160,1,
conv_layer22,14,14,1,1,512,112,1,
conv_layer23,14,14,3,3,112,224,1,
conv_layer24,14,14,1,1,512,24,1,
conv_layer25,14,14,3,3,24,64,1,
conv_layer26,14,14,1,1,512,64,1,
conv_layer27,14,14,1,1,512,128,1,
conv_layer28,14,14,1,1,512,128,1,
conv_layer29,14,14,3,3,128,256,1,
conv_layer30,14,14,1,1,512,24,1,
conv_layer31,14,14,3,3,24,64,1,
conv_layer32,14,14,1,1,512,64,1,
conv_layer33,14,14,1,1,512,112,1,
conv_layer34,14,14,1,1,512,144,1,
conv_layer35,14,14,3,3,144,288,1,
conv_layer36,14,14,1,1,512,32,1,
conv_layer37,14,14,3,3,32,64,1,
conv_layer38,14,14,1,1,512,64,1,
conv_layer39,14,14,1,1,528,256,1,
conv_layer40,14,14,1,1,528,160,1,
conv_layer41,14,14,3,3,160,320,1,
conv_layer42,14,14,1,1,528,32,1,
conv_layer43,14,14,3,3,32,128,1,
conv_layer44,14,14,1,1,528,128,1,
conv_layer45,7,7,1,1,832,256,1,
conv_layer46,7,7,1,1,832,160,1,
conv_layer47,7,7,3,3,160,320,1,
conv_layer48,7,7,1,1,832,32,1,
conv_layer49,7,7,3,3,32,128,1,
conv_layer50,7,7,1,1,832,128,1,
conv_layer51,7,7,1,1,832,384,1,
conv_layer52,7,7,1,1,832,192,1,
conv_layer53,7,7,3,3,192,384,1,
conv_layer54,7,7,1,1,832,48,1,
conv_layer55,7,7,3,3,48,128,1,
conv_layer56,7,7,1,1,832,128,1,
