Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides
conv_layer0,224,224,3,3,3,32,2,
conv_layer1,112,112,3,3,1,32,1,
conv_layer2,112,112,1,1,32,16,1,
conv_layer3,112,112,1,1,16,96,1,
conv_layer4,112,112,3,3,1,96,2,
conv_layer5,56,56,1,1,96,24,1,
conv_layer6,56,56,1,1,24,144,1,
conv_layer7,56,56,3,3,1,144,1,
conv_layer8,56,56,1,1,144,24,1,
conv_layer9,56,56,1,1,24,144,1,
conv_layer10,56,56,3,3,1,144,2,
conv_layer11,28,28,1,1,144,32,1,
conv_layer12,28,28,1,1,32,192,1,
conv_layer13,28,28,3,3,1,192,1,
conv_layer14,28,28,1,1,192,32,1,
conv_layer15,28,28,1,1,32,192,1,
conv_layer16,28,28,3,3,1,192,1,
conv_layer17,28,28,1,1,192,32,1,
conv_layer18,28,28,1,1,32,192,1,
conv_layer19,28,28,3,3,1,192,2,
conv_layer20,14,14,1,1,192,64,1,
conv_layer21,14,14,1,1,64,384,1,
conv_layer22,14,14,3,3,1,384,1,
conv_layer23,14,14,1,1,384,64,1,
conv_layer24,14,14,1,1,64,384,1,
conv_layer25,14,14,3,3,1,384,1,
conv_layer26,14,14,1,1,384,64,1,
conv_layer27,14,14,1,1,64,384,1,
conv_layer28,14,14,3,3,1,384,1,
conv_layer29,14,14,1,1,384,64,1,
conv_layer30,14,14,1,1,64,384,1,
conv_layer31,14,14,3,3,1,384,1,
conv_layer32,14,14,1,1,384,96,1,
conv_layer33,14,14,1,1,96,576,1,
conv_layer34,14,14,3,3,1,576,1,
conv_layer35,14,14,1,1,576,96,1,
conv_layer36,14,14,1,1,96,576,1,
conv_layer37,14,14,3,3,1,576,1,
conv_layer38,14,14,1,1,576,96,1,
conv_layer39,14,14,1,1,96,576,1,
conv_layer40,14,14,3,3,1,576,2,
conv_layer41,7,7,1,1,576,160,1,
conv_layer42,7,7,1,1,160,960,1,
conv_layer43,7,7,3,3,1,960,1,
conv_layer44,7,7,1,1,960,160,1,
conv_layer45,7,7,1,1,160,960,1,
conv_layer46,7,7,3,3,1,960,1,
conv_layer47,7,7,1,1,960,160,1,
conv_layer48,7,7,1,1,160,960,1,
conv_layer49,7,7,3,3,1,960,1,
conv_layer50,7,7,1,1,960,320,1,
conv_layer51,7,7,1,1,320,1280,1,
