Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides
conv_layer0,224,224,7,7,3,64,2,
conv_layer1,56,56,3,3,64,64,1,
conv_layer2,56,56,3,3,64,64,1,
conv_layer3,56,56,3,3,64,64,1,
conv_layer4,56,56,3,3,64,64,1,
conv_layer5,56,56,3,3,64,128,2,
conv_layer6,28,28,3,3,128,128,1,
conv_layer7,56,56,1,1,64,128,2,
conv_layer8,28,28,3,3,128,128,1,
conv_layer9,28,28,3,3,128,128,1,
conv_layer10,28,28,3,3,128,256,2,
conv_layer11,14,14,3,3,256,256,1,
conv_layer12,28,28,1,1,128,256,2,
conv_layer13,14,14,3,3,256,256,1,
conv_layer14,14,14,3,3,256,256,1,
conv_layer15,14,14,3,3,256,512,2,
conv_layer16,7,7,3,3,512,512,1,
conv_layer17,14,14,1,1,256,512,2,
conv_layer18,7,7,3,3,512,512,1,
conv_layer19,7,7,3,3,512,512,1,
